G1,G2,G3,studytime,failures,absences,Medu,Fedu,famrel,freetime,goout,nursery,internet,romantic,Dalc,Walc,student_id
9,11,11,1,0,6,4,3,3,3,3,0,1,0,1,1,POR_97
13,12,12,2,0,0,2,1,4,3,5,1,0,1,1,1,POR_98
12,13,13,1,0,4,4,4,5,3,4,0,1,0,1,2,POR_99
12,13,13,3,0,2,4,3,5,3,5,1,1,0,1,1,POR_100
9,9,8,1,0,12,4,4,4,5,5,1,1,0,5,5,POR_101
16,16,16,3,0,0,4,4,4,4,3,1,1,1,1,1,POR_102
12,13,12,1,0,2,4,4,5,3,3,0,1,0,1,1,POR_103
11,10,10,2,0,16,3,2,4,3,5,1,1,0,1,1,POR_104
16,16,16,2,0,0,3,4,5,4,4,1,1,0,1,1,POR_105
10,10,10,4,0,10,3,3,4,3,3,1,0,0,1,1,POR_106
10,10,10,4,0,4,2,2,5,1,2,1,1,0,1,1,POR_107
13,14,14,3,0,4,3,3,5,3,3,1,1,0,1,1,POR_108
12,10,11,4,0,8,4,4,1,3,5,1,1,1,3,5,POR_109
15,15,14,3,0,2,4,4,5,4,5,1,1,1,1,1,POR_110
13,14,14,1,0,4,4,4,5,5,3,1,1,0,1,1,POR_111
11,11,11,3,0,4,3,3,4,1,2,1,1,0,1,1,POR_112
8,10,10,2,1,12,2,2,3,1,2,1,1,0,1,1,POR_113
18,17,18,1,0,10,4,2,3,5,2,1,1,0,1,1,POR_114
10,9,10,2,0,4,2,1,5,4,2,1,1,1,1,1,POR_115
16,14,14,2,0,6,4,4,5,4,4,1,1,0,1,2,POR_116
16,15,16,2,0,4,4,4,4,4,3,1,0,0,1,1,POR_117
14,14,15,1,0,6,3,3,5,4,2,1,1,0,1,1,POR_118
12,11,11,2,1,14,1,3,5,2,4,1,1,0,1,4,POR_119
14,13,14,1,0,2,3,4,3,4,3,1,1,0,1,2,POR_120
14,14,14,2,0,0,1,2,3,2,3,0,1,0,1,2,POR_121
14,13,13,4,0,6,2,2,5,5,4,1,1,0,1,2,POR_122
14,12,13,2,0,2,2,4,4,2,2,1,1,1,1,2,POR_123
12,13,13,1,0,4,4,4,3,4,4,1,1,0,1,4,POR_124
12,11,11,2,0,0,2,2,5,4,4,1,1,1,1,1,POR_125
9,9,9,1,0,2,3,4,5,5,5,1,1,0,3,2,POR_126
10,11,11,2,0,0,3,4,5,3,2,1,1,1,1,1,POR_127
9,10,11,2,2,0,0,1,3,4,2,0,0,0,1,1,POR_128
14,14,15,1,0,8,4,4,3,5,5,1,1,0,2,5,POR_129
13,12,13,3,0,4,2,3,3,2,3,0,1,1,2,2,POR_130
10,11,12,3,0,0,3,4,4,2,2,1,1,1,2,2,POR_131
10,9,8,2,3,10,2,1,5,4,5,1,1,1,1,3,POR_132
11,10,11,1,0,8,2,1,3,2,2,1,1,0,1,2,POR_133
11,12,13,1,0,6,1,1,4,3,3,0,1,1,1,2,POR_134
13,12,12,1,0,2,2,2,3,4,4,1,1,1,1,3,POR_135
15,13,14,1,0,12,3,4,3,2,1,1,1,0,1,4,POR_136
9,9,11,1,0,4,2,1,3,2,1,1,0,0,1,1,POR_137
13,11,11,1,1,12,2,2,5,3,4,1,0,0,1,1,POR_138
12,11,11,2,0,2,3,4,5,3,3,1,0,1,1,1,POR_139
13,14,15,3,0,4,4,4,4,3,3,1,1,1,1,1,POR_140
10,9,10,2,0,2,3,4,5,4,5,1,0,0,2,4,POR_141
14,13,13,2,0,0,1,1,5,1,3,1,0,0,1,1,POR_142
11,11,12,1,0,2,3,1,3,3,4,1,1,1,4,5,POR_143
12,11,11,3,0,10,3,2,4,3,3,0,1,1,5,1,POR_144
12,11,11,1,0,8,1,1,3,3,3,1,0,1,1,2,POR_145
9,9,10,1,0,4,3,3,4,3,2,0,1,1,1,1,POR_146
10,10,10,2,2,0,1,1,4,4,4,1,0,1,1,3,POR_147
13,14,14,1,0,6,4,4,4,3,2,1,1,0,1,1,POR_148
8,9,9,1,1,2,1,1,5,5,5,1,1,1,1,1,POR_149
9,11,11,4,0,6,4,3,2,2,2,1,1,0,1,1,POR_150
9,8,9,2,0,24,3,3,1,3,2,0,0,1,2,3,POR_151
15,13,13,3,0,0,4,4,5,3,3,1,1,0,1,3,POR_152
12,11,11,1,0,4,2,2,2,3,3,1,1,0,2,2,POR_153
13,13,13,3,0,2,4,4,4,2,2,1,1,0,1,1,POR_154
10,11,11,1,0,4,1,1,3,4,4,1,1,0,3,3,POR_155
9,7,6,1,0,22,2,1,5,4,5,1,1,0,1,2,POR_156
12,12,12,2,0,0,1,1,4,4,2,1,1,0,1,2,POR_157
11,10,10,1,0,0,2,1,4,4,2,1,1,1,1,1,POR_158
11,11,11,2,1,2,3,2,3,3,2,1,1,0,1,1,POR_159
13,12,13,2,0,6,1,2,4,3,2,0,1,0,1,1,POR_160
11,11,11,2,0,6,1,2,2,3,4,0,0,1,2,4,POR_161
9,9,8,1,0,16,4,4,3,3,2,1,1,1,2,1,POR_162
12,11,11,1,0,0,2,1,4,5,5,1,1,0,2,5,POR_163
11,9,0,1,2,0,1,1,2,3,5,1,1,1,2,5,POR_164
9,10,10,1,1,6,2,1,4,4,4,1,0,1,3,5,POR_165
13,13,13,3,0,2,3,3,4,2,1,1,1,1,2,3,POR_166
11,9,11,1,0,6,3,2,4,5,4,1,1,1,1,1,POR_167
13,13,13,1,0,0,4,4,4,2,1,1,0,1,1,1,POR_168
7,8,8,2,0,0,2,3,4,4,4,1,0,0,1,1,POR_169
9,8,10,1,3,14,1,2,2,2,2,1,0,0,3,3,POR_170
11,10,11,1,3,6,1,1,5,2,5,0,0,0,1,5,POR_171
12,10,11,1,0,4,2,2,4,2,2,0,0,0,1,2,POR_172
10,10,1,2,1,0,3,3,4,5,5,1,1,1,4,4,POR_173
9,8,10,1,2,0,1,2,4,4,5,0,1,0,3,5,POR_174
8,8,9,1,1,8,2,1,3,3,2,1,1,1,2,2,POR_175
7,6,8,2,2,4,3,2,4,4,4,1,1,1,1,4,POR_176
8,9,10,1,0,2,1,2,4,4,4,1,0,0,2,4,POR_177
9,8,8,1,1,2,1,3,5,3,3,1,1,0,1,4,POR_178
8,8,8,2,0,0,1,1,5,3,5,1,0,1,1,5,POR_179
8,7,8,1,3,10,3,2,4,5,2,0,0,0,1,1,POR_180
9,10,11,2,0,0,2,2,4,3,5,1,1,0,2,4,POR_181
17,17,18,2,0,0,4,2,4,2,3,1,1,1,1,1,POR_182
12,12,13,2,0,0,2,2,5,1,5,0,1,0,1,1,POR_183
16,16,17,2,0,0,4,4,4,4,2,1,1,1,1,1,POR_184
9,9,10,1,1,4,3,4,3,4,5,0,1,0,2,4,POR_185
16,17,18,2,0,0,1,0,4,3,2,1,1,1,1,1,POR_186
11,9,10,2,0,0,4,4,4,4,4,1,1,0,1,3,POR_187
14,13,13,2,0,0,1,3,4,3,5,0,1,1,1,1,POR_188
14,14,15,2,0,0,3,3,4,4,5,1,1,0,1,1,POR_189
10,11,11,2,0,0,4,3,4,4,4,1,1,0,4,4,POR_190
13,12,14,2,0,0,2,2,3,4,4,0,1,0,1,4,POR_191
11,9,10,2,0,4,3,3,4,3,4,0,1,0,1,4,POR_192
10,9,11,1,0,8,4,2,4,3,3,1,1,1,3,4,POR_193
11,11,13,2,0,4,4,3,5,2,3,1,1,1,1,1,POR_194
11,10,11,2,0,4,4,3,3,4,3,1,1,0,2,3,POR_195
11,12,13,2,0,0,3,3,4,2,3,1,1,1,1,2,POR_196
17,18,17,2,0,0,2,4,5,4,2,1,0,0,2,3,POR_197
14,13,14,2,0,32,3,3,5,3,3,1,1,1,2,3,POR_198
14,15,16,2,0,8,3,2,1,2,2,1,1,0,1,2,POR_199
11,13,14,2,0,6,3,3,4,3,4,1,1,1,2,3,POR_200
10,9,11,1,0,0,1,2,3,3,3,1,1,1,1,2,POR_201
13,14,16,2,0,0,2,1,4,2,3,1,1,1,1,2,POR_202
12,13,14,2,0,10,3,3,3,3,3,0,1,1,1,3,POR_203
9,9,10,2,0,6,1,2,3,1,3,1,0,0,1,5,POR_204
12,12,13,2,0,6,2,3,4,3,3,1,1,0,1,1,POR_205
12,11,12,2,0,0,1,1,5,3,3,1,1,0,1,1,POR_206
10,11,12,2,0,16,1,2,4,4,4,0,1,0,4,5,POR_207
11,10,10,1,0,0,3,3,4,3,2,1,1,0,3,4,POR_208
13,12,12,1,0,0,2,3,5,3,3,1,1,0,1,1,POR_209
14,15,16,2,0,8,2,4,4,3,2,1,1,1,1,1,POR_210
13,13,14,1,0,4,4,4,5,2,3,1,1,0,1,2,POR_211
10,11,12,1,0,16,3,3,3,3,4,1,1,0,3,5,POR_212
14,15,16,1,1,30,4,4,4,2,4,1,1,0,2,3,POR_213
11,10,11,2,0,0,4,4,4,5,2,1,1,0,1,2,POR_214
14,14,15,2,0,2,4,3,4,3,5,1,1,0,1,5,POR_215
11,12,12,2,0,4,2,3,4,4,3,1,0,0,1,3,POR_216
14,15,15,2,0,0,1,1,4,4,4,0,0,0,1,3,POR_217
13,13,13,1,0,21,2,2,5,3,2,1,1,0,1,2,POR_218
13,13,13,4,0,6,2,2,5,3,5,0,1,0,1,1,POR_219
8,9,8,3,1,14,3,4,4,4,3,1,1,1,3,4,POR_220
11,11,12,2,0,2,3,1,2,3,3,1,1,0,2,2,POR_221
14,15,15,2,0,4,4,3,1,3,2,1,1,1,1,1,POR_222
12,13,13,1,0,2,1,1,4,3,2,1,0,0,1,4,POR_223
11,12,12,3,0,0,4,3,4,4,2,1,1,1,1,1,POR_224
12,12,12,4,0,4,3,3,4,3,3,1,1,0,1,2,POR_225
13,12,12,2,0,15,4,4,5,3,5,1,1,1,4,5,POR_226
13,13,13,2,0,0,2,2,3,3,4,1,1,0,1,1,POR_227
12,11,11,2,0,10,2,2,4,4,4,1,1,0,2,4,POR_228
12,11,11,1,0,6,4,4,5,2,1,1,0,0,1,2,POR_229
14,16,15,2,0,2,3,2,4,4,4,1,1,0,1,3,POR_230
11,9,10,2,0,16,4,3,3,4,5,1,1,1,2,4,POR_231
10,10,10,2,0,10,3,3,3,2,4,1,1,0,2,4,POR_232
12,13,13,1,0,4,2,3,3,3,3,1,0,0,1,4,POR_233
12,12,13,3,0,0,2,2,4,3,3,1,1,0,1,1,POR_234
11,10,11,2,0,0,2,1,4,2,5,1,1,0,1,2,POR_235
12,12,12,3,0,12,1,1,4,3,4,1,0,1,1,1,POR_236
13,13,14,2,0,0,2,3,2,3,1,1,1,0,1,1,POR_237
10,9,10,2,3,9,2,2,3,3,3,1,1,0,5,5,POR_238
15,16,16,3,0,4,4,4,5,3,2,0,1,0,1,1,POR_239
8,8,8,2,0,4,3,1,5,3,3,1,1,1,1,1,POR_240
17,18,17,2,0,2,3,2,5,3,4,0,1,0,1,3,POR_241
10,11,11,2,0,0,2,3,5,3,3,0,1,0,1,3,POR_242
9,10,11,2,0,2,2,1,4,3,2,1,1,1,4,5,POR_243
15,15,16,3,0,0,2,1,3,2,3,1,1,1,1,2,POR_244
14,12,12,2,0,0,4,3,3,2,3,1,1,1,1,2,POR_245
12,13,13,2,0,0,2,2,4,5,2,1,1,0,1,1,POR_246
13,13,13,2,0,0,4,4,4,5,5,1,1,1,1,3,POR_247
13,13,14,2,0,0,4,4,4,2,4,1,1,0,2,4,POR_248
9,9,9,2,0,2,1,1,3,4,2,1,1,0,1,1,POR_249
12,12,12,3,0,0,3,2,5,3,3,1,1,1,1,3,POR_250
16,16,16,2,0,0,2,2,4,4,2,0,1,1,5,5,POR_251
9,10,10,1,0,4,2,1,4,5,2,1,1,1,1,1,POR_252
14,13,13,2,0,0,4,1,5,3,3,1,1,1,1,2,POR_253
10,10,10,2,1,18,2,4,4,3,3,1,1,0,1,1,POR_254
9,8,10,2,1,16,2,2,5,3,1,0,1,1,1,1,POR_255
8,7,7,1,1,14,3,3,4,1,1,1,1,0,1,1,POR_256
7,8,8,1,1,26,2,2,4,4,3,0,1,1,2,2,POR_257
10,8,9,1,0,6,4,4,4,2,1,0,1,0,1,2,POR_258
14,14,15,2,0,4,3,2,5,4,2,1,0,0,1,1,POR_259
11,10,10,3,0,10,1,1,4,3,2,1,1,1,1,2,POR_260
12,11,11,1,0,4,1,2,5,3,5,1,1,0,1,2,POR_261
13,13,13,2,0,2,2,1,2,1,1,1,0,0,1,1,POR_262
9,9,8,1,1,14,1,4,5,5,4,1,1,0,1,1,POR_263
8,7,8,2,0,16,2,2,5,5,4,1,1,0,3,5,POR_264
11,9,10,1,1,8,2,2,3,1,2,0,1,0,1,1,POR_265
15,14,15,3,0,4,1,1,4,3,3,1,1,0,1,3,POR_266
15,14,14,2,0,4,4,2,4,3,2,1,0,0,1,1,POR_267
15,15,15,2,0,8,4,3,2,5,5,1,1,1,1,4,POR_268
12,12,12,2,0,0,4,4,3,3,3,1,1,0,2,3,POR_269
14,14,15,1,0,7,4,3,5,4,5,0,1,0,1,1,POR_270
14,15,15,1,0,4,4,4,5,3,2,1,1,0,1,2,POR_271
11,11,12,2,0,2,4,4,5,3,1,1,1,1,1,4,POR_272
13,14,15,3,0,2,1,1,4,3,3,0,1,1,1,1,POR_273
11,11,11,3,0,10,3,3,4,2,2,1,1,1,2,3,POR_274
10,9,10,2,0,10,1,1,4,3,2,0,0,1,1,1,POR_275
12,10,11,3,0,10,2,1,4,4,4,0,1,1,1,1,POR_276
15,16,16,1,0,7,2,1,4,3,3,1,1,0,1,1,POR_277
11,10,11,2,0,4,1,1,4,3,4,1,0,0,1,2,POR_278
9,12,13,1,0,2,2,3,5,2,2,1,1,0,1,1,POR_279
7,8,5,1,3,12,3,1,5,4,5,0,1,1,5,5,POR_280
10,9,10,2,0,8,3,3,4,3,3,1,1,1,1,3,POR_281
11,12,11,1,0,0,0,2,4,3,2,0,1,0,2,4,POR_282
7,8,7,1,0,8,3,2,4,4,5,1,1,0,2,4,POR_283
9,11,10,2,1,4,3,3,5,3,3,0,1,0,1,3,POR_284
7,8,6,1,2,4,2,1,3,2,5,0,1,0,2,5,POR_285
14,13,12,1,0,2,2,1,3,3,2,0,0,0,1,3,POR_286
12,12,13,1,0,0,2,1,4,4,2,0,1,0,2,4,POR_287
9,10,10,1,1,0,1,1,4,4,4,1,1,0,1,2,POR_288
12,12,13,2,0,2,2,1,4,3,4,0,1,1,1,3,POR_289
14,15,17,4,0,2,4,2,4,2,3,1,1,0,1,1,POR_290
10,10,11,2,0,0,2,2,4,3,3,1,1,0,1,1,POR_291
11,10,11,2,1,4,2,1,4,4,5,0,1,0,4,4,POR_292
11,12,14,3,0,2,4,2,4,3,4,1,1,0,1,3,POR_293
11,12,14,3,0,4,1,1,4,4,3,0,0,0,2,3,POR_294
11,11,13,2,0,4,2,2,3,2,3,1,0,0,1,1,POR_295
11,13,14,2,0,4,4,3,4,3,1,1,1,0,1,1,POR_296
16,16,16,2,0,2,2,1,5,2,4,1,1,0,1,2,POR_297
9,10,10,1,0,0,2,2,5,2,2,0,0,0,1,1,POR_298
10,11,12,4,0,2,2,2,3,4,1,1,1,1,1,1,POR_299
10,12,12,2,0,8,2,1,1,2,3,1,1,1,1,2,POR_300
15,15,15,2,0,2,4,3,3,1,2,1,1,1,1,3,POR_301
10,10,11,2,0,2,4,3,4,3,2,0,1,0,1,1,POR_302
10,11,12,3,0,2,3,2,5,3,2,0,0,0,1,1,POR_303
15,12,13,3,0,2,3,3,3,2,3,0,0,0,1,1,POR_304
11,12,13,3,0,0,2,2,4,3,3,1,1,1,1,1,POR_305
8,8,9,1,0,8,2,2,4,4,4,1,1,0,2,3,POR_306
15,16,16,2,0,6,3,4,4,2,5,1,1,0,3,4,POR_307
11,11,14,2,0,0,3,1,5,4,4,1,1,1,3,4,POR_308
10,11,12,2,0,8,4,4,4,3,4,1,1,0,2,2,POR_309
10,12,14,2,0,4,4,2,5,4,5,1,1,1,1,3,POR_310
8,9,10,2,0,12,2,1,4,3,5,1,1,1,1,2,POR_311
11,12,12,2,0,16,3,3,4,3,5,1,1,0,3,3,POR_312
16,16,16,4,0,10,2,3,4,5,5,1,1,1,1,3,POR_313
13,13,13,2,0,2,1,1,4,4,3,0,0,0,1,1,POR_314
16,17,18,2,0,2,1,2,3,5,2,0,0,1,2,2,POR_315
14,14,15,2,0,8,2,1,4,2,5,1,1,1,1,2,POR_316
15,16,16,2,0,6,2,4,4,3,3,1,1,1,1,1,POR_317
12,12,12,2,0,6,2,2,4,4,4,1,1,1,2,3,POR_318
12,9,10,2,0,15,3,2,4,1,1,0,1,1,1,1,POR_319
11,12,12,1,0,6,4,4,3,2,4,1,1,0,1,4,POR_320
14,12,13,2,1,2,4,4,2,4,4,1,1,1,1,1,POR_321
13,15,15,3,0,8,2,2,4,2,3,1,1,1,1,1,POR_322
9,8,10,2,1,0,3,2,3,3,3,1,1,0,4,3,POR_323
10,10,10,1,0,0,4,3,4,2,3,1,1,0,1,2,POR_324
10,10,11,1,0,10,1,2,3,4,4,0,1,0,2,4,POR_325
11,11,10,1,0,22,4,1,4,5,4,1,1,1,2,4,POR_326
13,13,13,1,0,18,3,2,4,4,4,1,1,0,3,4,POR_327
17,17,18,4,0,2,1,1,5,2,2,1,0,0,1,1,POR_328
12,13,13,2,0,0,1,1,5,4,4,1,1,0,1,1,POR_329
12,12,14,2,0,12,2,2,5,4,5,0,1,0,1,2,POR_330
12,13,14,2,0,10,2,1,4,3,1,1,1,1,1,1,POR_331
12,12,12,2,0,0,1,1,4,3,3,0,1,0,1,2,POR_332
18,18,18,3,0,0,2,2,4,3,3,1,1,0,1,2,POR_333
13,13,14,3,0,0,1,1,4,3,3,1,1,0,1,1,POR_334
14,15,15,3,0,0,2,1,4,2,4,1,1,0,1,3,POR_335
17,17,17,2,0,0,4,4,5,4,3,1,1,0,1,1,POR_336
15,16,16,2,0,2,4,2,4,3,2,1,1,1,1,4,POR_337
17,18,18,3,0,0,4,3,4,2,2,1,1,0,1,2,POR_338
18,19,19,4,0,0,3,1,3,1,2,1,0,0,1,1,POR_339
14,15,15,3,0,0,3,2,5,4,2,1,1,0,1,1,POR_340
14,15,15,1,0,0,3,3,4,4,3,1,1,0,1,3,POR_341
14,13,13,2,0,2,4,4,2,3,4,1,1,0,2,3,POR_342
13,14,14,2,0,0,4,3,4,4,5,1,1,1,1,2,POR_343
16,17,17,4,0,0,4,3,4,3,3,1,1,0,1,1,POR_344
18,18,17,1,0,0,4,4,1,4,2,1,1,1,2,2,POR_345
14,15,15,2,0,0,4,4,4,2,4,1,1,1,1,1,POR_346
12,13,13,1,0,0,4,4,4,1,1,1,1,0,2,2,POR_347
7,7,8,3,0,0,4,4,5,3,4,1,1,0,1,1,POR_348
16,16,16,3,0,0,4,2,4,3,3,1,1,0,1,1,POR_349
18,18,18,4,0,0,3,2,5,2,2,0,1,0,1,2,POR_350
9,10,11,3,1,0,2,1,4,3,1,1,1,1,1,1,POR_351
14,15,15,1,2,0,3,2,5,5,3,1,0,0,1,1,POR_352
10,10,11,2,0,0,3,3,4,5,3,1,0,1,1,2,POR_353
10,10,11,2,0,2,1,4,3,4,4,0,0,1,1,2,POR_354
12,12,15,2,0,2,2,1,5,3,3,1,1,0,1,2,POR_355
11,12,14,2,0,2,2,3,4,2,1,1,1,1,1,1,POR_356
15,16,17,1,0,2,4,4,4,4,4,1,1,0,1,1,POR_357
14,15,17,3,0,2,4,3,4,3,4,1,1,1,1,1,POR_358
12,12,15,1,0,8,4,3,3,2,4,1,1,0,1,4,POR_359
15,15,17,3,0,2,3,4,4,3,4,0,1,0,2,5,POR_360
11,12,14,2,0,8,3,3,4,1,4,1,1,0,1,1,POR_361
11,10,10,2,0,9,4,2,5,4,4,1,1,1,1,1,POR_362
12,11,13,2,0,0,4,4,4,4,4,1,1,0,3,3,POR_363
11,12,14,1,0,4,3,4,5,4,4,1,1,1,1,1,POR_364
14,15,17,1,0,2,4,4,5,3,4,1,1,0,1,2,POR_365
15,14,17,2,0,14,4,3,5,2,2,1,1,1,1,2,POR_366
12,12,13,2,0,0,3,3,5,3,3,1,1,0,1,1,POR_367
11,12,14,2,0,2,2,1,4,2,3,1,1,0,2,2,POR_368
8,9,11,1,0,2,4,4,4,2,5,1,1,0,3,4,POR_369
10,10,11,3,0,12,1,1,1,5,5,1,0,1,4,3,POR_370
8,8,9,2,2,2,1,1,5,3,4,0,1,1,1,1,POR_371
10,10,10,1,0,2,2,2,4,3,5,1,1,1,2,4,POR_372
14,13,13,2,0,4,2,2,4,2,2,1,0,1,1,1,POR_373
11,11,10,3,0,0,2,2,3,3,2,1,1,0,2,2,POR_374
